epoch,accuracy,cost
0,0.9017,0.081072484
1,0.9251,0.062777304
2,0.9317,0.056942694
3,0.9379,0.05223493
4,0.9388,0.05070137
5,0.9418,0.049845717
6,0.9416,0.048223665
7,0.9463,0.045590263
8,0.9454,0.045806006
9,0.9488,0.043200848
10,0.9484,0.043826401
11,0.9474,0.044502118
12,0.9486,0.043239407
13,0.9488,0.044671944
14,0.9505,0.042297642
15,0.9502,0.041963152
16,0.9476,0.044389269
17,0.9489,0.044558862
18,0.9484,0.043898443
19,0.9507,0.04216074
20,0.9501,0.042092337
21,0.9518,0.040502818
22,0.9517,0.040607876
23,0.954,0.040012019
24,0.9514,0.040833259
25,0.9545,0.039168254
26,0.9504,0.042680026
27,0.9535,0.04113283
28,0.9531,0.040384457
29,0.953,0.040205262
